observation_id,source_id,pdf_page,inspection,image_type,title,stated_purpose,tradition,likely_lineage,numerology,primitive_geometry,construction_grammar,spatial_arrangement,graph_connectivity,symmetry,enclosure,axes,paths,repeated_motifs,extraction_confidence,classification,lineage_weight,visual_evidence_ref,notes,authoritative_status,batch,record_version,supersedes_observation_id,source_claim_class,recovery_status
OBS-000042,SRC-000010,39,visually_inspected,calendrical wheel diagram,Pagan Wheel of the Year,Map eight Sabbats and seasonal transitions around an annual cycle.,modern Seax-Wica / modern Pagan seasonal calendar,LIN-000006 — Seax-Wica circular ritual and calendrical diagrams,eight sectors; four seasonal/cardinal stations and four intermediate Sabbats,outer circle; four axial diameters; four diagonal radii; sector labels and dates,divide a circle into eight radial sectors; assign seasons to the four principal quadrants and Sabbats/dates around the perimeter,eight-sector radial calendar,connected center-to-boundary spoke network,fourfold axial plus eightfold radial symmetry,complete circular boundary,"vertical, horizontal, and four diagonal axes",cyclical perimeter sequence through eight stations,eight repeated sectors; seasonal quadrants,0.99,verified_visual_calendar_wheel,0.5,PDF page 39 / printed page 58,The diagram is modern calendrical instruction. It is linked to the emblem's eightfold theme but remains a distinct geometry family.,VERIFIED,2,1,,visual_calendar_wheel,SOURCE_RECHECKED_VISUAL
OBS-000043,SRC-000010,58,visually_inspected,construction and body-map diagram,Male Poppet Construction and Astrological Placement Diagram,Construct and personalize a male poppet as a sympathetic representation of a person.,modern Seax-Wica sympathetic magic instruction,LIN-000007 — Seax-Wica instructional process diagrams,paired figures: one cut pattern and one annotated finished poppet,two anthropomorphic outlines; seam boundary; open head; facial marks; astrological symbols placed on torso,"cut two matching cloth outlines, sew around the edge while leaving the head open, then add identifying features and symbolic placements",paired before/after human-body diagrams,each silhouette is connected; arrows and labels link annotations to body locations,bilateral body symmetry,body outline forms a closed local enclosure except the indicated head opening,vertical body axis; limb axes,construction sequence from cut pieces to sewn and marked figure,paired silhouettes; repeated bilateral limbs; symbolic body placements,0.99,verified_visual_body_map,0.5,PDF page 58 / printed page 97,Recorded as construction/body mapping. Operational use is summarized without reproducing manipulative ritual instructions.,VERIFIED,2,1,,visual_body_map,SOURCE_RECHECKED_VISUAL
OBS-000044,SRC-000010,65,visually_inspected,directed divination layout,The Path Nine-Position Divination Layout,"Guide a card reading through the Querent, Inner Self, Goal, Past, Family, Health, Religion, Friends, and Final Outcome.",modern Seax-Wica divination practice,LIN-000007 — Seax-Wica instructional process diagrams,one Significator plus eight numbered positions; nine nodes total,nine rectangles arranged in three columns with directed arrows,place the Significator and eight cards in a serpentine directed sequence; assign a semantic role to each position,three-column network with top-left Significator and eight numbered card nodes,directed connected path: Significator to 1 to 2 to 3 to 4 to 5 to 6 to 7 to 8,layout is grid-like but directionally asymmetric,each card rectangle is a local enclosure; no outer boundary,three vertical column axes; two horizontal cross-links,"serpentine path descending, crossing right, rising, crossing right, then descending",nine repeated rectangular nodes; directional arrows,0.99,verified_visual_divination_layout,0.5,PDF page 65 / printed page 111,The checkpoint's 'nine-position' count includes the Significator plus eight numbered reading cards.,VERIFIED,2,1,,visual_divination_layout,SOURCE_RECHECKED_VISUAL
OBS-000045,SRC-000010,75,visually_inspected,magical alphabet table,Theban Alphabet,Provide an esoteric substitution alphabet for magical writing.,Theban magical alphabet as reproduced in a modern Seax-Wica manual,LIN-000009 — Theban alphabet lineage,Latin A-Z mappings with combined I/J and U/V entries plus an end-of-sentence sign,curved and angular glyphs paired with Latin letters,map Latin alphabet entries to a distinct replacement glyph set in two vertical columns,two-column substitution table,disconnected glyph mappings,mixed local glyph symmetries,none,vertical column axes,top-to-bottom alphabetic order,repeated letter/glyph pairs,0.99,verified_visual_alphabet_table,1,PDF page 75 / printed page 130,Historical lineage is named but not independently verified by this single modern reproduction.,VERIFIED,2,1,,visual_alphabet_table,SOURCE_RECHECKED_VISUAL
OBS-000046,SRC-000010,75,visually_inspected,magical alphabet table,Passing the River Alphabet,Provide an esoteric Hebrew-letter substitution script for magical writing.,Passing the River magical alphabet as reproduced in a modern Seax-Wica manual,LIN-000010 — Passing the River alphabet lineage,Hebrew letter-name sequence,angular and curvilinear glyphs mapped to Hebrew letter names,select the first of three parallel magical-alphabet columns for each Hebrew letter name,left column of a three-script comparison table,disconnected glyph mappings,mixed local glyph symmetries,none,vertical column axis,top-to-bottom Hebrew-letter order,repeated letter-name/glyph pairs,0.99,verified_visual_alphabet_table,1,PDF page 75 / printed page 131,One of three parallel script columns on the same plate; retained as a distinct named lineage.,VERIFIED,2,1,,visual_alphabet_table,SOURCE_RECHECKED_VISUAL
OBS-000047,SRC-000010,75,visually_inspected,magical alphabet table,Malachim Alphabet,Provide an esoteric Hebrew-letter substitution script for magical writing.,Malachim magical alphabet as reproduced in a modern Seax-Wica manual,LIN-000011 — Malachim alphabet lineage,Hebrew letter-name sequence,predominantly angular and forked glyphs mapped to Hebrew letter names,select the middle of three parallel magical-alphabet columns for each Hebrew letter name,middle column of a three-script comparison table,disconnected glyph mappings,mixed local glyph symmetries,none,vertical column axis,top-to-bottom Hebrew-letter order,repeated letter-name/glyph pairs,0.99,verified_visual_alphabet_table,1,PDF page 75 / printed page 131,One of three parallel script columns on the same plate; retained as a distinct named lineage.,VERIFIED,2,1,,visual_alphabet_table,SOURCE_RECHECKED_VISUAL
OBS-000048,SRC-000010,75,visually_inspected,magical alphabet table,Celestial Alphabet,Provide an esoteric Hebrew-letter substitution script for magical writing.,Celestial magical alphabet as reproduced in a modern Seax-Wica manual,LIN-000012 — Celestial alphabet lineage,Hebrew letter-name sequence,"angular, looped, and terminal-marked glyphs mapped to Hebrew letter names",select the rightmost of three parallel magical-alphabet columns for each Hebrew letter name,right column of a three-script comparison table,disconnected glyph mappings,mixed local glyph symmetries,none,vertical column axis,top-to-bottom Hebrew-letter order,repeated letter-name/glyph pairs,0.99,verified_visual_alphabet_table,1,PDF page 75 / printed page 131,One of three parallel script columns on the same plate; retained as a distinct named lineage.,VERIFIED,2,1,,visual_alphabet_table,SOURCE_RECHECKED_VISUAL
OBS-000049,SRC-000010,76,visually_inspected,stemline script table,Ogham Bethluisnion,Present an early Celtic/Druidic inscription system organized around a central stemline.,Ogham as reproduced in a modern Seax-Wica manual,LIN-000013 — Ogham Bethluisnion lineage,ordered groups of strokes mapped to letter values,"vertical stemlines with short strokes crossing, adjoining, or branching from the line","encode letters by number, side, angle, and grouping of strokes along a central line",two vertical stemline columns with adjacent phonetic labels,each letter group connects locally to the stemline,local reflection and repetition; no whole-table symmetry,none,strong vertical stemline axes,top-to-bottom script order,repeated stroke groups around a line,0.99,verified_visual_stemline_script,1,PDF page 76 / printed page 133,"Stored as a script-reference plate. The source's historical description is retained as a secondary claim, not treated as direct artifact provenance.",VERIFIED,2,1,,visual_stemline_script_table,SOURCE_RECHECKED_VISUAL
OBS-000050,SRC-000010,77,visually_inspected,rune alphabet table,Germanic Runes,Present the Germanic Futhark as a rune and phonetic reference.,Germanic runic tradition as reproduced in a modern Seax-Wica manual,LIN-000014 — Germanic rune lineage,source text states a basic set of twenty-four runes,angular rune glyphs paired with phonetic values,arrange the runes in two vertical groups with their sound values,two-column rune table,disconnected glyph mappings,mixed local glyph symmetries,none,vertical column axes,top-to-bottom reading order,repeated rune/value pairs,0.99,verified_visual_rune_table,1,PDF page 77 / printed page 134,One modern reference witness for the Germanic rune lineage; it does not make the source an independent historical artifact.,VERIFIED,2,1,,visual_rune_table,SOURCE_RECHECKED_VISUAL
OBS-000051,SRC-000010,78,visually_inspected,comparative rune plate,Scandinavian Runes: Danish and Swedish-Norse,Present two sixteen-rune Scandinavian variants as comparative phonetic tables.,Danish and Swedish-Norse rune traditions as reproduced in a modern Seax-Wica manual,LIN-000015 — Scandinavian rune variants lineage,two sub-tables; source text states sixteen runes in Scandinavian systems,two horizontal rows of angular rune glyphs with phonetic values,place Danish and Swedish-Norse variants as two parallel horizontal alphabets under one Scandinavian heading,two stacked comparative rune rows,disconnected glyph mappings,mixed local glyph symmetries,none,two horizontal row axes,left-to-right phonetic order,two repeated variant rows,0.99,verified_visual_rune_table,1,PDF page 78 / printed page 136,"Danish and Swedish-Norse are preserved as two sub-tables inside one principal Scandinavian Runes plate, maintaining the trusted count of fourteen groups.",VERIFIED,2,1,,visual_rune_table,SOURCE_RECHECKED_VISUAL
OBS-000052,SRC-000010,78,visually_inspected,comparative rune alphabet table,Anglo-Saxon Runes,Present an expanded Anglo-Saxon Futhorc with documented variant forms.,Anglo-Saxon runic tradition as reproduced in a modern Seax-Wica manual,LIN-000008 — Saxon and Anglo-Saxon Futhorc lineage,source text notes twenty-eight to thirty-one or more runes; plate includes multiple variant rows,angular rune glyphs in several variant rows paired with phonetic values,align multiple historical-source variants by sound value in a comparative table,multi-row comparative rune table,disconnected glyph mappings,mixed local glyph symmetries,none,horizontal row axes,left-to-right phonetic order with vertically aligned variants,repeated variant rows; shared phonetic columns,0.99,verified_visual_rune_table,0.5,PDF page 78 / printed page 137,Second visual witness in the same broad Futhorc lineage as OBS-000040; lineage adjustment prevents duplicate inflation.,VERIFIED,2,1,,visual_rune_table,SOURCE_RECHECKED_VISUAL
OBS-000053,SRC-000011,68,visually_inspected,ritual circle / variable-payload template,Circle of Art,"Define and protect the operator's ritual field while locating the operation within named angelic, seasonal, temporal, lunar, and solar correspondences.",modern ceremonial magic drawing from the Heptameron,LIN-000016 — Heptameron Circle of Art lineage,multiple concentric rings; four exterior stars; quartered center,nested concentric circles; inscription bands; central quartered cross; four exterior stars; variable textual sectors,"draw nested circular boundaries, divide the center by vertical and horizontal axes, place stars outside the four diagonal quadrants, and fill inscription bands or sectors with operation-specific names",concentric bounded field with central fourfold division and external corner stars,connected circular cycles plus axial cross; inscription payload is positioned rather than edge-connected,fourfold axial organization with approximate radial symmetry,multiple complete concentric enclosures,vertical and horizontal central axes; four diagonal exterior positions,closed ring paths and center-to-boundary quadrant organization,repeated circles; four stars; inscription bands,0.99,verified_visual_template,1,PDF page 68 / printed pages 134-135,"The adjacent commentary explicitly says the spirit, angel, year, season, day, hour, Moon, and Sun names vary by operation. Fixed scaffold and replaceable payload are stored separately.",VERIFIED,2,1,,visual_ritual_template,SOURCE_RECHECKED_VISUAL
OBS-000054,SRC-000011,74,visually_inspected,protective pentacle,Pentacle of Protection and Obedience,Protect the operator and compel the appearing spirit's attention or obedience within the source's ceremonial system.,modern ceremonial magic drawing from the Heptameron,LIN-000017 — Pentacle of Protection and Obedience lineage,six-point interlaced structure; six exterior terminals; central sacred-name payload,interlaced upward and downward triangles forming a hexagram; cross-like terminals at six points; perimeter letters; central cross-like mark and sacred-name text,"interlace two triangles, add terminal marks to the six vertices, place letters along the outer segments, and insert a central sacred-name payload",single centered hexagram-like figure with semantic center and six terminal nodes,connected interlaced triangular network with detached or attached terminal marks and text,sixfold structural balance with local bilateral symmetry,no outer circular boundary; triangular network encloses a central field,three principal vertex-to-vertex axes,closed triangular paths crossing into a six-point network,six points; repeated terminal crosses; central payload,0.99,verified_visual_pentacle,1,PDF page 74 / printed page 147,Modern reproduction of an inherited Heptameron pentacle. The source distinguishes fixed figure geometry from the material and timing of construction.,VERIFIED,2,1,,visual_protective_pentacle,SOURCE_RECHECKED_VISUAL
OBS-000055,SRC-000011,87,visually_inspected,day/planet correspondence plate,Sunday / Lord's Day Plate,"Encode the source's Sunday correspondences through the governing angel, planet, zodiacal or heaven signs, and related names.",modern ceremonial magic reproduction of Heptameron day correspondences,LIN-000018 — Heptameron day/planet plate template,one of seven weekday plates; seven raw instances share one template family,"large angelic name/signature; planetary glyph; additional zodiacal, heaven, or angelic signs","reuse one horizontal correspondence-plate template while replacing the angelic name, planetary sign, and day-specific semantic payload",horizontal row of named and symbolic payloads beneath a day-specific heading,mostly disconnected glyph and text components unified by the plate heading,no global geometric symmetry; local glyph symmetries vary,none,dominant horizontal row axis,left-to-right reading of day-specific payload,repeated plate structure across seven days,0.99,verified_visual_template_instance,0.142857,PDF page 87 / printed pages 172-173,Day-specific instance of the same Heptameron plate family. The governing angel is Michael and the planet is Sun; source repetition is lineage-adjusted across the seven plates.,VERIFIED,2,1,,visual_correspondence_plate,SOURCE_RECHECKED_VISUAL
OBS-000056,SRC-000011,88,visually_inspected,day/planet correspondence plate,Monday Plate,"Encode the source's Monday correspondences through the governing angel, planet, zodiacal or heaven signs, and related names.",modern ceremonial magic reproduction of Heptameron day correspondences,LIN-000018 — Heptameron day/planet plate template,one of seven weekday plates; seven raw instances share one template family,"large angelic name/signature; planetary glyph; additional zodiacal, heaven, or angelic signs","reuse one horizontal correspondence-plate template while replacing the angelic name, planetary sign, and day-specific semantic payload",horizontal row of named and symbolic payloads beneath a day-specific heading,mostly disconnected glyph and text components unified by the plate heading,no global geometric symmetry; local glyph symmetries vary,none,dominant horizontal row axis,left-to-right reading of day-specific payload,repeated plate structure across seven days,0.99,verified_visual_template_instance,0.142857,PDF page 88 / printed pages 174-175,Day-specific instance of the same Heptameron plate family. The governing angel is Gabriel and the planet is Moon; source repetition is lineage-adjusted across the seven plates.,VERIFIED,2,1,,visual_correspondence_plate,SOURCE_RECHECKED_VISUAL
OBS-000057,SRC-000011,89,visually_inspected,day/planet correspondence plate,Tuesday Plate,"Encode the source's Tuesday correspondences through the governing angel, planet, zodiacal or heaven signs, and related names.",modern ceremonial magic reproduction of Heptameron day correspondences,LIN-000018 — Heptameron day/planet plate template,one of seven weekday plates; seven raw instances share one template family,"large angelic name/signature; planetary glyph; additional zodiacal, heaven, or angelic signs","reuse one horizontal correspondence-plate template while replacing the angelic name, planetary sign, and day-specific semantic payload",horizontal row of named and symbolic payloads beneath a day-specific heading,mostly disconnected glyph and text components unified by the plate heading,no global geometric symmetry; local glyph symmetries vary,none,dominant horizontal row axis,left-to-right reading of day-specific payload,repeated plate structure across seven days,0.99,verified_visual_template_instance,0.142857,PDF page 89 / printed pages 176-177,Day-specific instance of the same Heptameron plate family. The governing angel is Samael and the planet is Mars; source repetition is lineage-adjusted across the seven plates.,VERIFIED,2,1,,visual_correspondence_plate,SOURCE_RECHECKED_VISUAL
OBS-000058,SRC-000011,90,visually_inspected,day/planet correspondence plate,Wednesday Plate,"Encode the source's Wednesday correspondences through the governing angel, planet, zodiacal or heaven signs, and related names.",modern ceremonial magic reproduction of Heptameron day correspondences,LIN-000018 — Heptameron day/planet plate template,one of seven weekday plates; seven raw instances share one template family,"large angelic name/signature; planetary glyph; additional zodiacal, heaven, or angelic signs","reuse one horizontal correspondence-plate template while replacing the angelic name, planetary sign, and day-specific semantic payload",horizontal row of named and symbolic payloads beneath a day-specific heading,mostly disconnected glyph and text components unified by the plate heading,no global geometric symmetry; local glyph symmetries vary,none,dominant horizontal row axis,left-to-right reading of day-specific payload,repeated plate structure across seven days,0.99,verified_visual_template_instance,0.142857,PDF page 90 / printed pages 178-179,Day-specific instance of the same Heptameron plate family. The governing angel is Raphael and the planet is Mercury; source repetition is lineage-adjusted across the seven plates.,VERIFIED,2,1,,visual_correspondence_plate,SOURCE_RECHECKED_VISUAL
OBS-000059,SRC-000011,91,visually_inspected,day/planet correspondence plate,Thursday Plate,"Encode the source's Thursday correspondences through the governing angel, planet, zodiacal or heaven signs, and related names.",modern ceremonial magic reproduction of Heptameron day correspondences,LIN-000018 — Heptameron day/planet plate template,one of seven weekday plates; seven raw instances share one template family,"large angelic name/signature; planetary glyph; additional zodiacal, heaven, or angelic signs","reuse one horizontal correspondence-plate template while replacing the angelic name, planetary sign, and day-specific semantic payload",horizontal row of named and symbolic payloads beneath a day-specific heading,mostly disconnected glyph and text components unified by the plate heading,no global geometric symmetry; local glyph symmetries vary,none,dominant horizontal row axis,left-to-right reading of day-specific payload,repeated plate structure across seven days,0.99,verified_visual_template_instance,0.142857,PDF page 91 / printed pages 180-181,Day-specific instance of the same Heptameron plate family. The governing angel is Sachiel and the planet is Jupiter; source repetition is lineage-adjusted across the seven plates.,VERIFIED,2,1,,visual_correspondence_plate,SOURCE_RECHECKED_VISUAL
OBS-000060,SRC-000011,92,visually_inspected,day/planet correspondence plate,Friday Plate,"Encode the source's Friday correspondences through the governing angel, planet, zodiacal or heaven signs, and related names.",modern ceremonial magic reproduction of Heptameron day correspondences,LIN-000018 — Heptameron day/planet plate template,one of seven weekday plates; seven raw instances share one template family,"large angelic name/signature; planetary glyph; additional zodiacal, heaven, or angelic signs","reuse one horizontal correspondence-plate template while replacing the angelic name, planetary sign, and day-specific semantic payload",horizontal row of named and symbolic payloads beneath a day-specific heading,mostly disconnected glyph and text components unified by the plate heading,no global geometric symmetry; local glyph symmetries vary,none,dominant horizontal row axis,left-to-right reading of day-specific payload,repeated plate structure across seven days,0.99,verified_visual_template_instance,0.142857,PDF page 92 / printed pages 182-183,Day-specific instance of the same Heptameron plate family. The governing angel is Anael and the planet is Venus; source repetition is lineage-adjusted across the seven plates.,VERIFIED,2,1,,visual_correspondence_plate,SOURCE_RECHECKED_VISUAL
OBS-000061,SRC-000011,93,visually_inspected,day/planet correspondence plate,Saturday Plate,"Encode the source's Saturday correspondences through the governing angel, planet, zodiacal or heaven signs, and related names.",modern ceremonial magic reproduction of Heptameron day correspondences,LIN-000018 — Heptameron day/planet plate template,one of seven weekday plates; seven raw instances share one template family,"large angelic name/signature; planetary glyph; additional zodiacal, heaven, or angelic signs","reuse one horizontal correspondence-plate template while replacing the angelic name, planetary sign, and day-specific semantic payload",horizontal row of named and symbolic payloads beneath a day-specific heading,mostly disconnected glyph and text components unified by the plate heading,no global geometric symmetry; local glyph symmetries vary,none,dominant horizontal row axis,left-to-right reading of day-specific payload,repeated plate structure across seven days,0.99,verified_visual_template_instance,0.142857,PDF page 93 / printed pages 184-185,Day-specific instance of the same Heptameron plate family. The governing angel is Cassiel and the planet is Saturn; source repetition is lineage-adjusted across the seven plates.,VERIFIED,2,1,,visual_correspondence_plate,SOURCE_RECHECKED_VISUAL
OBS-000062,SRC-000012,42,visually_inspected,composite programming symbol with component legend,House Protection Entity Programming Symbol,Combine several source-defined component signs into one programming symbol for a house-protection entity.,modern entity-magic instructional practice,LIN-000019 — component-overlay programming-symbol lineage,six documented semantic components in the legend,central house icon; square/rectangular enclosure; circle; diamond; crossed horizontal/vertical bars with pointed terminals; side crescents or arcs,"select source-defined component signs for house, Beth/house, fourfold elements, protection, balance/solidity, and lunar protection; overlay them into one centered emblem",dense centered composite with nested house and enclosure forms inside a larger crossed diamond structure,many connected and overlaid components; central house is enclosed by square/circle/diamond layers,strong bilateral and approximate fourfold symmetry,multiple nested local enclosures around the house,vertical and horizontal axes plus two diagonal diamond axes,"closed house, square, circle, and diamond paths combined with axial bars",paired side arcs; four pointed axial terminals; nested enclosures,0.99,verified_visual_composite,1,PDF page 42 / printed pages 66-67,"The page includes a component legend identifying House, Beth/House, Delta/Fourfold/Elements, Thorn/Protection, Sun/Circle/Balance/Solidity, and Moon/Protection. One modern instructional composite, not six independent traditions.",VERIFIED,2,1,,visual_composite_with_legend,SOURCE_RECHECKED_VISUAL
OBS-000063,SRC-000012,58,visually_inspected,deterministic text-filtering workflow,Letter Deletion and Greek-Equivalent Filtering Workflow,Distill a multi-part statement into a reduced sequence used as one component of a programming symbol.,modern entity-magic instructional practice,LIN-000020 — deterministic distillation-grid-path programming lineage,duplicate deletion; alphabet-equivalence filtering; repeated-number deletion,crossed-out letter strings; reduced letter row; number row; reconverted letters; Greek transliteration,"delete duplicate letters, remove letters lacking Greek equivalents, map remaining letters to Pythagorean numbers, delete repeated numbers, convert back to letters, then transliterate into Greek forms",top-to-bottom transformation sequence with intermediate rows,serial process graph from source text to reduced symbolic payload,not applicable to the workflow as a whole,none,horizontal row axes across each transformation stage,ordered transformation pipeline,repeated deletion and remapping operations,0.99,verified_visual_process,0.333333,PDF page 58 / printed pages 98-99,Construction steps are visually documented. Stored as deterministic process evidence rather than as a finished glyph geometry.,VERIFIED,2,1,,visual_construction_workflow,SOURCE_RECHECKED_VISUAL
OBS-000064,SRC-000012,59,visually_inspected,numerology and magic-square construction grid,Pythagorean Reduction and Lo Shu Magic-Square Grid,Convert distilled letters to numbers and use a 3×3 Lo Shu grid as the coordinate scaffold for a programming-symbol path.,modern entity-magic instructional practice,LIN-000020 — deterministic distillation-grid-path programming lineage,Pythagorean 1-9 mapping; Lo Shu arrangement 4-9-2 / 3-5-7 / 8-1-6; final single-digit reductions,3×3 square grid with numbers; ordered number sequences; arithmetic reductions,"map letters to Pythagorean values, place or locate values on the Lo Shu grid, and reduce sums to single digits for later component placement",square 3×3 coordinate field with nine numbered cells,grid adjacency plus later number-to-number path potential,fourfold square symmetry in the scaffold; number placement is Lo Shu balanced,complete square outer boundary with nine cells,vertical and horizontal grid axes,ordered number sequence later becomes a connected path,nine cells; numbers 1 through 9; balanced row/column totals,0.99,verified_visual_construction_grid,0.333333,PDF page 59 / printed pages 100-101,The source explicitly identifies the 3×3 layout as a magick square. The Atlas records the grid and path-building grammar without treating numerological meanings as universal facts.,VERIFIED,2,1,,visual_numerology_grid,SOURCE_RECHECKED_VISUAL
OBS-000065,SRC-000012,61,visually_inspected,final circular programming symbol,Emer Ipsni Programming Symbol,Represent an inspiration and hindrance-removal entity through perimeter letters and a connected interior path derived from the documented workflow.,modern entity-magic instructional practice,LIN-000020 — deterministic distillation-grid-path programming lineage,eight perimeter letters placed by direction; path begins at 9 and ends at 5; square at 7; additional circle and sex-symbol placement,outer circle; eight perimeter letters; interior connected polyline; circular start/end nodes; square marker; overlaid male symbol,"place eight reduced letters around the circle in directional order, connect magic-square-derived number positions with a line, mark specified nodes with circles or a square, and add a derived sex-symbol payload",circular boundary with directional perimeter payload and central network path,connected interior path inside a complete circular enclosure; markers annotate selected nodes,outer circle is radial; interior path is asymmetric,complete circular outer boundary,eight directional axes around the perimeter,clockwise perimeter placement plus ordered interior number path,eight letters; circles; square; central line network,0.99,verified_visual_programming_symbol,0.333333,PDF page 61 / printed page 105; construction notes on PDF page 62,"This is the final output of OBS-000063 and OBS-000064. The source documents the construction chain from statement to reduced payload, grid, path, and marked final symbol.",VERIFIED,2,1,,visual_deterministic_programming_symbol,SOURCE_RECHECKED_VISUAL
OBS-000066,SRC-000012,69,visually_inspected,task-specific programming sigil,D’watcher Programming Symbol,The source assigns the symbol to a destructive and harassing entity scenario; retained only as provenance and geometry evidence.,modern entity-magic case-study appendix,LIN-000021 — minimal task-specific programming-sigil lineage,no stable numerology stated on the figure page,open angular polyline; circular terminals; small square marker near lower terminal,"draw a long descending diagonal from a circular terminal, turn into a short zigzag, extend to a lower circular terminal, and add a nearby square marker",sparse open line network occupying a broad triangular field,single connected open polyline with terminal markers and one adjacent square,asymmetrical,none,dominant descending diagonal and lower horizontal axis,top-left to rightward kink to lower-left terminal,two circular terminals; one square; two sharp turns,0.99,verified_visual_programming_symbol,1,PDF page 69 / printed page 120,"Source-stated harmful purpose is recorded descriptively but operational instructions, placement guidance, and activation details are excluded.",VERIFIED,2,1,,visual_harmful_case_study_sigil,SOURCE_RECHECKED_VISUAL
OBS-000067,SRC-000013,1-4,visually_inspected/text_only,textual correspondence set,Thirteen-Herb Cabinet Set,"Provide a compact cabinet of thirteen easily grown herbs selected for multi-faceted practical, culinary, medicinal, protective, and magical uses.",modern herbal correspondence guide,unattributed modern herbal selection,13 explicitly numbered herbs,no visual geometry; numbered textual list only,select and number thirteen herbs as a practical multi-use cabinet,ordered list of thirteen named plants followed by optional add-on categories,textual sequence only; no graph geometry,none,no visual enclosure,list order only,1 through 13 textual sequence,thirteen repeated herb entries,0.99,text_only_context,1,PDF pages 1-4,"All four pages were visually inspected. The number thirteen is an explicit editorial set size, not a measured geometric or cross-tradition numerological rule.",VERIFIED,3,1,,textual_correspondence_set,SOURCE_RECHECKED_TEXT_ONLY
OBS-000068,SRC-000014,8,visually_inspected/text_only,textual quarter-calling process,Four-Quarter Calling Pentacles and Fifth Salute,"Call and salute the ritual quarters so the rite is witnessed and the circle blessed, followed by a final fifth salute.",modern Wiccan personal ritual compilation,quarter-calling pentacle practice,four quarter pentacles plus a fifth salute,pentacle named but not shown or measured,"perform a calling pentacle, salute, and kiss at each quarter; conclude with a salute to the fifth",four cardinal ritual stations plus an unspecified fifth station or principle,textual sequence only; no visual graph,no measurable symmetry,circle context stated; no drawn boundary,four cardinal axes implied,quarter-by-quarter sequence; exact tracing order and fifth location are not shown,four repeated pentacle calls and salutes; one concluding fifth salute,0.99,text_only_process,1,PDF page 8,"All 168 pages were visually inspected and contain no embedded images. Pentacle form, trace direction, and fifth-point location remain unresolved.",VERIFIED,3,1,,textual_ritual_process,SOURCE_RECHECKED_TEXT_ONLY
OBS-000069,SRC-000014,23-29,visually_inspected/text_only,textual ritual-boundary lifecycle,Celtic Circle Construction and Lifecycle,"Create, consecrate, populate, bind, release, and open a ritual circle through a documented multi-stage sequence.",modern Wiccan personal ritual compilation,circle-construction and lifecycle practice,one circle; four quarters; four candles implied,circle and quarters described but not drawn,"Draw the Circle; consecrate it; consecrate water, salt, fire, and incense; aspurge and cense; salute and call each quarter while lighting candles; bind the work; license departure; banish and extinguish; cut or open the circle","bounded ritual field with altar, four quarter stations, and a staged lifecycle",serial textual process; no visual graph,cardinal organization implied,complete ritual enclosure described,cardinal axes implied,construction → consecration → quarter activation → binding → release/banishing → cutting/opening,repeated quarter calls; candles lit and extinguished in turn; boundary opening and closing,0.99,text_only_process,1,PDF pages 23-29,"The source provides a detailed lifecycle but no diagram. Construction medium, dimensions, exact path, and trace geometry are not visually measurable.",VERIFIED,3,1,,textual_ritual_process,SOURCE_RECHECKED_TEXT_ONLY
OBS-000070,SRC-000014,12-14;27;30-32,visually_inspected/text_only,textual cardinal-elemental correspondence framework,Cardinal Quarters and Fifth Spirit Correspondences,"Organize ritual directions, elements, tools, colors, beings, seasons, times, qualities, and a central Spirit principle.",modern Wiccan personal ritual compilation,cardinal-elemental quarter framework,four cardinal quarters plus a fifth Spirit center,cardinal cross and center are implied in text; no diagram,"assign correspondence payloads to North, East, South, West, and Spirit; address the quarters in the stated East → South → West → North sequence",four directional stations around a central fifth principle,textual mapping framework; no visual graph,fourfold cardinal organization with privileged center,circle context stated; no drawn boundary,North-South and East-West axes plus center,East → South → West → North; Spirit at center,four repeated directional tuples plus one central Spirit tuple,0.99,textual_correspondence_framework,0.2,"PDF pages 12-14, 27, 30-32","Examples include North/Earth/pentacles, East/Air/athame, South/Fire/wand, West/Water/cup; later pages add color, beings, seasonal, temporal, and qualitative payloads. Spirit is stated at the center with balance, invocation, and manifestation.",VERIFIED,3,1,,authorial_correspondence_framework,SOURCE_RECHECKED_TEXT_ONLY
OBS-000071,SRC-000015,1,visually_inspected,historical artifact reproduction / representational iconography,Venus of Willendorf Reproduction,"Illustrate the authors' discussion of prehistoric fertility, motherhood, and an Earth-Mother concept in a modern Wiccan historical narrative.",modern Wiccan historical narrative using a Paleolithic artifact reproduction,LIN-000022 — Paleolithic Venus figurine reproduction lineage,"caption states approximately 30,000 years; no symbolic count encoded","anthropomorphic female figurine with emphasized abdomen, breasts, hips, and textured head",modern black-and-white reproduction of a three-dimensional artifact; no source construction process provided,isolated upright figurine,connected representational body form; not an abstract symbol graph,approximate bilateral body symmetry,body silhouette forms a local boundary; no ritual enclosure,vertical body axis,no operative trace path,repeated rounded anatomical volumes,0.99,historical_artifact_reproduction,1,"PDF page 1, left image","Caption identifies the Venus of Willendorf and gives an approximate age. The authors' religious interpretation is stored separately as a source claim, not accepted as proof of prehistoric Wiccan continuity.",VERIFIED,3,1,,historical_artifact_reproduction,SOURCE_RECHECKED_VISUAL
